UTC_START,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
2019-01-24 18:00:00,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
2019-01-24 19:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-24 20:00:00,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
2019-01-24 21:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-24 22:00:00,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
2019-01-24 23:00:00,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
2019-01-25 00:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-25 01:00:00,,,,,,,,,,,0.351,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.351,0.343,,
2019-01-25 02:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-25 03:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-25 04:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-25 05:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-25 06:00:00,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
2019-01-25 07:00:00,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
2019-01-25 08:00:00,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
2019-01-25 09:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-25 10:00:00,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
2019-01-25 11:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-25 12:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-25 13:00:00,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
2019-01-25 14:00:00,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.5,,0.354,0.342,,
2019-01-25 15:00:00,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
2019-01-25 16:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-25 17:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-25 18:00:00,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2019-01-25 19:00:00,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
2019-01-25 20:00:00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
2019-01-25 21:00:00,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
2019-01-25 22:00:00,,,,,,,,,,,0.351,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.351,0.342,,
2019-01-25 23:00:00,,,,,,,,,,,0.35,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.35,0.341,,
