DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
01-00,,,,0.197,0.163,,,,,0.191,0.161,,,0.305,0.216,,,0.32,,0.38,,,,,,0.34,,,,,0,0.18,0.176,0.280333333,0.38,0.34
01-01,,,,0.197,0.163,,,,,0.191,0.162,,,0.302,0.215,,,0.318,,0.38,,,,,,0.34,,,,,0,0.18,0.1765,0.278333333,0.38,0.34
01-02,,,,0.197,0.164,,,,,0.19,0.162,,,0.302,0.215,,,0.317,,0.38,,,,,,0.34,,,,,0,0.1805,0.176,0.278,0.38,0.34
01-03,,,,0.197,0.164,,,,,0.191,0.162,,,0.3,0.213,,,0.316,,0.38,,,,,,0.34,,,,,0,0.1805,0.1765,0.276333333,0.38,0.34
01-04,,,,0.197,0.164,,,,,0.191,0.162,,,0.3,0.213,,,0.316,,0.38,,,,,,0.34,,,,,0,0.1805,0.1765,0.276333333,0.38,0.34
01-05,,,,0.197,0.165,,,,,0.191,0.162,,,0.299,0.213,,,0.316,,0.38,,,,,,0.34,,,,,0,0.181,0.1765,0.276,0.38,0.34
01-06,,,,0.197,0.164,,,,,0.191,0.163,,,0.299,0.213,,,0.315,,0.38,,,,,,0.34,,,,,0.2,0.1805,0.177,0.275666667,0.38,0.34
01-07,,,,0.197,0.164,,,,,0.191,0.163,,,0.298,0.213,,,0.315,,0.38,,,,,,0.34,,,,,0,0.1805,0.177,0.275333333,0.38,0.34
01-08,,,,0.197,0.164,,,,,0.191,0.163,,,0.297,0.213,,,0.316,,0.38,,,,,,0.34,,,,,0,0.1805,0.177,0.275333333,0.38,0.34
01-09,,,,0.197,0.165,,,,,0.191,0.164,,,0.297,0.214,,,0.316,,0.381,,,,,,0.34,,,,,0,0.181,0.1775,0.275666667,0.381,0.34
01-10,,,,0.197,0.165,,,,,0.191,0.164,,,0.298,0.214,,,0.315,,0.38,,,,,,0.34,,,,,0,0.181,0.1775,0.275666667,0.38,0.34
01-11,,,,0.198,0.165,,,,,0.191,0.164,,,0.296,0.213,,,0.316,,0.38,,,,,,0.34,,,,,0,0.1815,0.1775,0.275,0.38,0.34
01-12,,,,0.198,0.164,,,,,0.191,0.164,,,0.296,0.213,,,0.316,,0.381,,,,,,0.34,,,,,0,0.181,0.1775,0.275,0.381,0.34
01-13,,,,0.197,0.164,,,,,0.191,0.163,,,0.297,0.213,,,0.316,,0.381,,,,,,0.34,,,,,0.2,0.1805,0.177,0.275333333,0.381,0.34
01-14,,,,0.197,0.164,,,,,0.191,0.162,,,0.295,0.212,,,0.316,,0.381,,,,,,0.34,,,,,0,0.1805,0.1765,0.274333333,0.381,0.34
01-15,,,,0.196,0.163,,,,,0.191,0.162,,,0.293,0.211,,,0.315,,0.381,,,,,,0.34,,,,,0,0.1795,0.1765,0.273,0.381,0.34
01-16,,,,0.195,0.162,,,,,0.19,0.161,,,0.29,0.209,,,0.313,,0.381,,,,,,0.34,,,,,0,0.1785,0.1755,0.270666667,0.381,0.34
01-17,,,,0.193,0.16,,,,,0.19,0.159,,,0.289,0.207,,,0.31,,0.381,,,,,,0.34,,,,,0,0.1765,0.1745,0.268666667,0.381,0.34
01-18,,,,0.191,0.158,,,,,0.189,0.158,,,0.288,0.206,,,0.307,,0.381,,,,,,0.339,,,,,0,0.1745,0.1735,0.267,0.381,0.339
01-19,,,,0.189,0.156,,,,,0.188,0.157,,,0.286,0.205,,,0.303,,0.381,,,,,,0.34,,,,,0,0.1725,0.1725,0.264666667,0.381,0.34
01-20,,,,0.188,0.155,,,,,0.187,0.156,,,0.284,0.203,,,0.299,,0.381,,,,,,0.34,,,,,0,0.1715,0.1715,0.262,0.381,0.34
01-21,,,,0.187,0.154,,,,,0.187,0.155,,,0.282,0.201,,,0.295,,0.381,,,,,,0.339,,,,,0,0.1705,0.171,0.259333333,0.381,0.339
01-22,,,,0.187,0.153,,,,,0.185,0.154,,,0.281,0.2,,,0.293,,0.381,,,,,,0.339,,,,,0,0.17,0.1695,0.258,0.381,0.339
01-23,,,,0.187,0.153,,,,,0.185,0.152,,,0.28,0.199,,,0.292,,0.381,,,,,,0.339,,,,,0,0.17,0.1685,0.257,0.381,0.339
02-00,,,,0.187,0.153,,,,,0.185,0.154,,,0.28,0.199,,,0.291,,0.381,,,,,,0.338,,,,,0,0.17,0.1695,0.256666667,0.381,0.338
