,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.105,,,,,,0.119,,,,0.135,0.102,,,0.104,,0.126,,,,,,0.107,,,,,0.0,0.105,0.119,0.1136666666666667,0.126,0.107
1,01-01,,,,0.104,,,,,,0.119,,,,0.134,0.101,,,0.104,,0.126,,,,,,0.107,,,,,0.0,0.104,0.119,0.113,0.126,0.107
2,01-02,,,,0.104,,,,,,0.119,,,,0.133,0.102,,,0.104,,0.125,,,,,,0.107,,,,,0.0,0.104,0.119,0.113,0.125,0.107
3,01-03,,,,0.103,,,,,,0.118,,,,0.133,0.101,,,0.104,,0.125,,,,,,0.107,,,,,0.0,0.103,0.118,0.1126666666666667,0.125,0.107
4,01-04,,,,0.103,,,,,,0.118,,,,0.133,0.099,,,0.104,,0.124,,,,,,0.107,,,,,0.0,0.103,0.118,0.112,0.124,0.107
5,01-05,,,,0.103,,,,,,0.118,,,,0.132,0.1,,,0.104,,0.123,,,,,,0.107,,,,,0.0,0.103,0.118,0.112,0.123,0.107
6,01-06,,,,0.103,,,,,,0.116,,,,0.132,0.099,,,0.104,,0.123,,,,,,0.107,,,,,0.0,0.103,0.116,0.1116666666666667,0.123,0.107
7,01-07,,,,0.103,,,,,,0.117,,,,0.132,0.098,,,0.104,,0.122,,,,,,0.107,,,,,0.0,0.103,0.117,0.1113333333333333,0.122,0.107
8,01-08,,,,0.103,,,,,,0.116,,,,0.131,0.098,,,0.103,,0.122,,,,,,0.107,,,,,0.0,0.103,0.116,0.1106666666666667,0.122,0.107
9,01-09,,,,0.103,,,,,,0.115,,,,0.131,0.097,,,0.104,,0.121,,,,,,0.107,,,,,0.0,0.103,0.115,0.1106666666666667,0.121,0.107
10,01-10,,,,0.103,,,,,,0.115,,,,0.13,0.096,,,0.104,,0.121,,,,,,0.107,,,,,0.0,0.103,0.115,0.11,0.121,0.107
11,01-11,,,,0.103,,,,,,0.114,,,,0.129,0.095,,,0.103,,0.121,,,,,,0.107,,,,,0.0,0.103,0.114,0.109,0.121,0.107
12,01-12,,,,0.102,,,,,,0.113,,,,0.129,0.097,,,0.103,,0.119,,,,,,0.107,,,,,0.0,0.102,0.113,0.1096666666666667,0.119,0.107
13,01-13,,,,0.102,,,,,,0.112,,,,0.128,0.097,,,0.103,,0.119,,,,,,0.107,,,,,0.2,0.102,0.112,0.1093333333333333,0.119,0.107
14,01-14,,,,0.102,,,,,,0.111,,,,0.128,0.096,,,0.103,,0.119,,,,,,0.107,,,,,0.0,0.102,0.111,0.109,0.119,0.107
15,01-15,,,,0.102,,,,,,0.111,,,,0.127,0.095,,,0.103,,0.118,,,,,,0.107,,,,,0.3,0.102,0.111,0.1083333333333333,0.118,0.107
16,01-16,,,,0.102,,,,,,0.111,,,,0.126,0.095,,,0.103,,0.118,,,,,,0.107,,,,,0.0,0.102,0.111,0.108,0.118,0.107
17,01-17,,,,0.102,,,,,,0.111,,,,0.126,0.096,,,0.103,,0.117,,,,,,0.107,,,,,0.0,0.102,0.111,0.1083333333333333,0.117,0.107
18,01-18,,,,0.102,,,,,,0.111,,,,0.126,0.094,,,0.103,,0.116,,,,,,0.107,,,,,0.0,0.102,0.111,0.1076666666666667,0.116,0.107
19,01-19,,,,0.102,,,,,,0.11,,,,0.125,0.094,,,0.103,,0.115,,,,,,0.107,,,,,0.0,0.102,0.11,0.1073333333333333,0.115,0.107
20,01-20,,,,0.102,,,,,,0.11,,,,0.124,0.095,,,0.103,,0.114,,,,,,0.107,,,,,0.0,0.102,0.11,0.1073333333333333,0.114,0.107
21,01-21,,,,0.102,,,,,,0.11,,,,0.124,0.093,,,0.102,,0.114,,,,,,0.107,,,,,0.0,0.102,0.11,0.1063333333333333,0.114,0.107
22,01-22,,,,0.101,,,,,,0.11,,,,0.123,0.094,,,0.103,,0.114,,,,,,0.107,,,,,0.0,0.101,0.11,0.1066666666666667,0.114,0.107
23,01-23,,,,0.101,,,,,,0.11,,,,0.123,0.094,,,0.102,,0.113,,,,,,0.107,,,,,0.0,0.101,0.11,0.1063333333333333,0.113,0.107
24,02-00,,,,0.101,,,,,,0.11,,,,0.122,0.092,,,0.102,,0.112,,,,,,0.107,,,,,0.0,0.101,0.11,0.1053333333333333,0.112,0.107
25,02-01,,,,0.101,,,,,,0.11,,,,0.122,0.093,,,0.102,,0.112,,,,,,0.107,,,,,0.0,0.101,0.11,0.1056666666666667,0.112,0.107
26,02-02,,,,0.101,,,,,,0.11,,,,0.122,0.093,,,0.102,,0.112,,,,,,0.107,,,,,0.0,0.101,0.11,0.1056666666666667,0.112,0.107
27,02-03,,,,0.101,,,,,,0.11,,,,0.121,0.091,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.101,0.11,0.1046666666666667,0.111,0.107
28,02-04,,,,0.101,,,,,,0.11,,,,0.121,0.09,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.101,0.11,0.1043333333333333,0.111,0.107
29,02-05,,,,0.101,,,,,,0.109,,,,0.121,0.089,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.101,0.109,0.104,0.111,0.107
30,02-06,,,,0.101,,,,,,0.109,,,,0.12,0.09,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.101,0.109,0.104,0.111,0.107
31,02-07,,,,0.101,,,,,,0.109,,,,0.12,0.091,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.101,0.109,0.1043333333333333,0.111,0.107
32,02-08,,,,0.101,,,,,,0.109,,,,0.119,0.092,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.101,0.109,0.1043333333333333,0.111,0.107
33,02-09,,,,0.1,,,,,,0.108,,,,0.119,0.09,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.1,0.108,0.1036666666666667,0.111,0.107
34,02-10,,,,0.1,,,,,,0.108,,,,0.119,0.09,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.1,0.108,0.1036666666666667,0.111,0.107
35,02-11,,,,0.1,,,,,,0.109,,,,0.118,0.09,,,0.102,,0.111,,,,,,0.107,,,,,0.0,0.1,0.109,0.1033333333333333,0.111,0.107
36,02-12,,,,0.1,,,,,,0.108,,,,0.118,0.089,,,0.102,,0.11,,,,,,0.107,,,,,0.0,0.1,0.108,0.103,0.11,0.107
37,02-13,,,,0.1,,,,,,0.108,,,,0.118,0.09,,,0.102,,0.11,,,,,,0.107,,,,,0.2,0.1,0.108,0.1033333333333333,0.11,0.107
38,02-14,,,,0.099,,,,,,0.108,,,,0.117,0.09,,,0.102,,0.11,,,,,,0.107,,,,,0.0,0.099,0.108,0.103,0.11,0.107
39,02-15,,,,0.099,,,,,,0.108,,,,0.116,0.088,,,0.101,,0.11,,,,,,0.107,,,,,0.0,0.099,0.108,0.1016666666666667,0.11,0.107
40,02-16,,,,0.099,,,,,,0.108,,,,0.117,0.088,,,0.101,,0.11,,,,,,0.106,,,,,0.0,0.099,0.108,0.102,0.11,0.106
41,02-17,,,,0.099,,,,,,0.108,,,,0.116,0.088,,,0.101,,0.11,,,,,,0.106,,,,,0.0,0.099,0.108,0.1016666666666667,0.11,0.106
42,02-18,,,,0.099,,,,,,0.108,,,,0.115,0.088,,,0.101,,0.11,,,,,,0.106,,,,,0.0,0.099,0.108,0.1013333333333333,0.11,0.106
43,02-19,,,,0.099,,,,,,0.108,,,,0.114,0.087,,,0.101,,0.109,,,,,,0.106,,,,,0.0,0.099,0.108,0.1006666666666667,0.109,0.106
44,02-20,,,,0.099,,,,,,0.107,,,,0.113,0.087,,,0.101,,0.109,,,,,,0.106,,,,,0.0,0.099,0.107,0.1003333333333333,0.109,0.106
45,02-21,,,,0.099,,,,,,0.107,,,,0.112,0.088,,,0.101,,0.109,,,,,,0.106,,,,,0.0,0.099,0.107,0.1003333333333333,0.109,0.106
46,02-22,,,,0.099,,,,,,0.107,,,,0.111,0.087,,,0.101,,0.108,,,,,,0.106,,,,,0.0,0.099,0.107,0.09966666666666668,0.108,0.106
47,02-23,,,,0.098,,,,,,0.107,,,,0.11,0.087,,,0.101,,0.108,,,,,,0.106,,,,,0.0,0.098,0.107,0.09933333333333334,0.108,0.106
48,03-00,,,,0.907,,,,,,0.998,,,,0.109,0.086,,,0.1,,0.108,,,,,,0.981,,,,,0.0,0.907,0.998,0.09833333333333334,0.108,0.981
49,03-01,,,,0.098,,,,,,0.107,,,,0.109,0.086,,,0.1,,0.108,,,,,,0.106,,,,,0.0,0.098,0.107,0.09833333333333334,0.108,0.106
50,03-02,,,,0.098,,,,,,0.107,,,,0.108,0.085,,,0.1,,0.108,,,,,,0.106,,,,,0.0,0.098,0.107,0.09766666666666668,0.108,0.106
51,03-03,,,,0.098,,,,,,0.107,,,,0.108,0.085,,,0.1,,0.108,,,,,,0.106,,,,,0.0,0.098,0.107,0.09766666666666668,0.108,0.106
52,03-04,,,,0.098,,,,,,0.107,,,,0.107,0.084,,,0.1,,0.108,,,,,,0.106,,,,,0.0,0.098,0.107,0.09700000000000002,0.108,0.106
53,03-05,,,,0.098,,,,,,0.106,,,,0.107,0.084,,,0.1,,0.108,,,,,,0.106,,,,,0.0,0.098,0.106,0.09700000000000002,0.108,0.106
54,03-06,,,,0.098,,,,,,0.106,,,,3.609,0.084,,,0.925,,1.852,,,,,,0.952,,,,,0.0,0.098,0.106,1.539333333333333,1.852,0.952
55,03-07,,,,0.098,,,,,,0.106,,,,0.107,0.085,,,0.099,,0.108,,,,,,0.106,,,,,0.0,0.098,0.106,0.09700000000000002,0.108,0.106
56,03-08,,,,0.098,,,,,,0.106,,,,0.107,0.085,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.098,0.106,0.09700000000000002,0.107,0.106
57,03-09,,,,0.097,,,,,,0.106,,,,0.107,0.084,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09666666666666668,0.107,0.106
58,03-10,,,,0.097,,,,,,0.106,,,,0.107,0.084,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09666666666666668,0.107,0.106
59,03-11,,,,0.097,,,,,,0.106,,,,0.107,0.084,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09666666666666668,0.107,0.106
60,03-12,,,,0.097,,,,,,0.106,,,,0.107,0.084,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09666666666666668,0.107,0.106
61,03-13,,,,0.097,,,,,,0.106,,,,0.107,0.084,,,0.099,,0.107,,,,,,0.106,,,,,0.4,0.097,0.106,0.09666666666666668,0.107,0.106
62,03-14,,,,0.097,,,,,,0.106,,,,0.107,0.082,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09600000000000002,0.107,0.106
63,03-15,,,,0.097,,,,,,0.106,,,,0.106,0.083,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09600000000000002,0.107,0.106
64,03-16,,,,0.097,,,,,,0.106,,,,0.106,0.084,,,0.099,,0.107,,,,,,0.106,,,,,0.0,0.097,0.106,0.09633333333333334,0.107,0.106
65,03-17,,,,0.097,,,,,,0.105,,,,0.106,0.083,,,0.099,,0.106,,,,,,0.106,,,,,0.0,0.097,0.105,0.09600000000000002,0.106,0.106
66,03-18,,,,0.097,,,,,,0.105,,,,0.106,0.082,,,0.099,,0.106,,,,,,0.106,,,,,0.0,0.097,0.105,0.09566666666666668,0.106,0.106
67,03-19,,,,0.097,,,,,,0.105,,,,0.106,0.08,,,0.099,,0.106,,,,,,0.106,,,,,0.0,0.097,0.105,0.09500000000000001,0.106,0.106
68,03-20,,,,0.097,,,,,,0.105,,,,0.106,0.082,,,0.098,,0.106,,,,,,0.106,,,,,0.0,0.097,0.105,0.09533333333333334,0.106,0.106
69,03-21,,,,0.096,,,,,,0.105,,,,0.105,0.081,,,0.098,,0.106,,,,,,0.106,,,,,0.0,0.096,0.105,0.09466666666666668,0.106,0.106
70,03-22,,,,0.097,,,,,,0.105,,,,0.105,0.082,,,0.098,,0.106,,,,,,0.106,,,,,0.0,0.097,0.105,0.09500000000000001,0.106,0.106
71,03-23,,,,0.096,,,,,,0.104,,,,0.105,0.082,,,0.098,,0.106,,,,,,0.106,,,,,0.0,0.096,0.104,0.09500000000000001,0.106,0.106
72,04-00,,,,0.096,,,,,,0.104,,,,0.105,0.081,,,0.098,,0.106,,,,,,0.106,,,,,0.0,0.096,0.104,0.09466666666666668,0.106,0.106
73,04-01,,,,0.096,,,,,,0.105,0.081,,,0.105,0.081,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.096,0.093,0.09466666666666668,0.105,0.106
74,04-02,,,,0.096,,,,,,0.104,0.081,,,0.105,0.081,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.096,0.0925,0.09466666666666668,0.105,0.106
75,04-03,,,,0.096,,,,,,0.104,0.082,,,0.105,0.08,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.096,0.093,0.09433333333333334,0.105,0.106
76,04-04,,,,0.096,,,,,,0.104,0.083,,,0.105,0.08,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.096,0.0935,0.09433333333333334,0.105,0.106
77,04-05,,,,0.096,,,,,,0.104,0.084,,,0.105,0.08,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.096,0.094,0.09433333333333334,0.105,0.106
78,04-06,,,,0.096,,,,,,0.103,0.085,,,0.105,0.079,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.096,0.094,0.09400000000000001,0.105,0.106
79,04-07,,,,0.096,,,,,,0.103,0.085,,,0.105,0.079,,,0.097,,0.105,,,,,,0.106,,,,,0.0,0.096,0.094,0.09366666666666668,0.105,0.106
80,04-08,,,,0.096,,,,,,0.104,0.085,,,0.105,0.08,,,0.097,,0.105,,,,,,0.106,,,,,0.0,0.096,0.0945,0.09400000000000001,0.105,0.106
81,04-09,,,,0.095,,,,,,0.103,0.081,,,0.105,0.08,,,0.098,,0.105,,,,,,0.106,,,,,0.0,0.095,0.092,0.09433333333333334,0.105,0.106
82,04-10,,,,0.096,,,,,,0.103,0.08,,,0.105,0.08,,,0.097,,0.105,,,,,,0.106,,,,,0.0,0.096,0.0915,0.09400000000000001,0.105,0.106
83,04-11,,,,0.095,,,,,,0.103,0.08,,,0.105,0.081,,,0.097,,0.104,,,,,,0.106,,,,,0.0,0.095,0.0915,0.09433333333333334,0.104,0.106
84,04-12,,,,0.095,,,,,,0.103,0.08,,,0.105,0.079,,,0.097,,0.104,,,,,,0.106,,,,,0.2,0.095,0.0915,0.09366666666666668,0.104,0.106
85,04-13,,,,0.095,,,,,,0.103,0.081,,,0.105,0.078,,,0.097,,0.104,,,,,,0.106,,,,,0.0,0.095,0.092,0.09333333333333334,0.104,0.106
86,04-14,,,,0.095,,,,,,0.103,0.081,,,1.05,,,,0.097,,0.97,,,,,,0.106,,,,,0.0,0.095,0.092,0.5735,0.97,0.106
87,04-15,,,,0.095,,,,,,0.103,0.081,,,0.104,0.078,,,0.097,,0.104,,,,,,0.106,,,,,0.0,0.095,0.092,0.09300000000000001,0.104,0.106
88,04-16,,,,0.094,,,,,,0.102,0.08,,,0.104,0.078,,,0.897,,0.103,,,,,,0.106,,,,,0.0,0.094,0.091,0.3596666666666666,0.103,0.106
89,04-17,,,,,,,,,,,0.08,,,0.104,0.078,,,0.097,,0.103,,,,,,,,,,,0.0,,0.08,0.09300000000000001,0.103,
90,04-18,,,,0.356,,,,,,0.383,0.08,,,0.961,0.078,,,0.097,,0.103,,,,,,0.398,,,,,0.0,0.356,0.2315,0.3786666666666667,0.103,0.398
91,04-19,,,,0.094,,,,,,0.102,0.08,,,0.103,0.078,,,0.096,,0.103,,,,,,0.106,,,,,0.0,0.094,0.091,0.09233333333333334,0.103,0.106
92,04-20,,,,0.094,,,,,,0.943,0.08,,,0.103,0.078,,,0.897,,0.103,,,,,,0.106,,,,,0.0,0.094,0.5115,0.3593333333333333,0.103,0.106
93,04-21,,,,0.094,,,,,,0.943,0.08,,,0.103,0.078,,,0.096,,0.103,,,,,,0.106,,,,,0.0,0.094,0.5115,0.09233333333333334,0.103,0.106
94,04-22,,,,0.094,,,,,,0.101,0.08,,,0.924,0.077,,,0.096,,0.916,,,,,,0.951,,,,,0.0,0.094,0.0905,0.3656666666666668,0.916,0.951
95,04-23,,,,0.094,,,,,,0.101,0.08,,,0.952,0.076,,,0.096,,0.103,,,,,,0.106,,,,,0.0,0.094,0.0905,0.3746666666666667,0.103,0.106
96,05-00,,,,0.094,,,,,,0.101,,,,0.102,0.077,,,0.096,,0.102,,,,,,0.106,,,,,0.0,0.094,0.101,0.09166666666666667,0.102,0.106
97,05-01,,,,0.861,,,,,,0.943,,,,0.944,0.077,,,0.096,,0.944,,,,,,0.981,,,,,0.0,0.861,0.943,0.3723333333333333,0.944,0.981
98,05-02,,,,0.094,,,,,,0.101,,,,0.103,0.078,,,0.096,,0.102,,,,,,0.106,,,,,0.0,0.094,0.101,0.09233333333333334,0.102,0.106
99,05-03,,,,0.093,,,,,,0.101,,,,0.102,0.078,,,0.096,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.09200000000000001,0.102,0.106
100,05-04,,,,0.093,,,,,,0.101,,,,0.102,0.076,,,0.096,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.09133333333333334,0.102,0.106
101,05-05,,,,0.093,,,,,,0.101,,,,0.102,0.076,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.09100000000000001,0.102,0.106
102,05-06,,,,0.093,,,,,,0.101,,,,0.102,0.075,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.09066666666666667,0.102,0.106
103,05-07,,,,0.093,,,,,,0.101,,,,0.102,0.076,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.09100000000000001,0.102,0.106
104,05-08,,,,0.093,,,,,,0.101,,,,,0.076,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.08549999999999999,0.102,0.106
105,05-09,,,,0.093,,,,,,0.101,,,,0.382,0.076,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.101,0.1843333333333333,0.102,0.106
106,05-10,,,,0.093,,,,,,0.1,,,,0.102,0.076,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.1,0.09100000000000001,0.102,0.106
107,05-11,,,,0.093,,,,,,0.1,0.078,,,0.102,0.076,,,0.095,,0.102,,,,,,0.106,,,,,0.0,0.093,0.089,0.09100000000000001,0.102,0.106
