DAY_HOUR,raw,diff,precip,label
01-00,0.105,0.0,0.0,0
01-01,0.10400000000000001,-0.000999999999999987,0.0,0
01-02,0.10400000000000001,0.0,0.0,0
01-03,0.10300000000000001,-0.0010000000000000009,0.0,0
01-04,0.10300000000000001,0.0,0.0,0
01-05,0.10300000000000001,0.0,0.0,0
01-06,0.10300000000000001,0.0,0.0,0
01-07,0.10300000000000001,0.0,0.0,0
01-08,0.10300000000000001,0.0,0.0,0
01-09,0.10300000000000001,0.0,0.0,0
01-10,0.10300000000000001,0.0,0.0,0
01-11,0.10300000000000001,0.0,0.0,0
01-12,0.102,-0.0010000000000000148,0.0,0
01-13,0.102,0.0,0.2,0
01-14,0.102,0.0,0.0,0
01-15,0.102,0.0,0.3,0
01-16,0.102,0.0,0.0,0
01-17,0.102,0.0,0.0,0
01-18,0.102,0.0,0.0,0
01-19,0.102,0.0,0.0,0
01-20,0.102,0.0,0.0,0
01-21,0.102,0.0,0.0,0
01-22,0.10099999999999999,-0.0010000000000000009,0.0,0
01-23,0.10099999999999999,0.0,0.0,0
02-00,0.10099999999999999,0.0,0.0,0
02-01,0.10099999999999999,0.0,0.0,0
02-02,0.10099999999999999,0.0,0.0,0
02-03,0.10099999999999999,0.0,0.0,0
02-04,0.10099999999999999,0.0,0.0,0
02-05,0.10099999999999999,0.0,0.0,0
02-06,0.10099999999999999,0.0,0.0,0
02-07,0.10099999999999999,0.0,0.0,0
02-08,0.10099999999999999,0.0,0.0,0
02-09,0.1,-0.000999999999999987,0.0,0
02-10,0.1,0.0,0.0,0
02-11,0.1,0.0,0.0,0
02-12,0.1,0.0,0.0,0
02-13,0.1,0.0,0.2,0
02-14,0.099,-0.0010000000000000009,0.0,0
02-15,0.099,0.0,0.0,0
02-16,0.099,0.0,0.0,0
02-17,0.099,0.0,0.0,0
02-18,0.099,0.0,0.0,0
02-19,0.099,0.0,0.0,0
02-20,0.099,0.0,0.0,0
02-21,0.099,0.0,0.0,0
02-22,0.099,0.0,0.0,0
02-23,0.098,-0.0010000000000000009,0.0,0
03-00,0.907,0.809,0.0,1
03-01,0.098,-0.809,0.0,0
03-02,0.098,0.0,0.0,0
03-03,0.098,0.0,0.0,0
03-04,0.098,0.0,0.0,0
03-05,0.098,0.0,0.0,0
03-06,0.098,0.0,0.0,0
03-07,0.098,0.0,0.0,0
03-08,0.098,0.0,0.0,0
03-09,0.09699999999999999,-0.0010000000000000148,0.0,0
03-10,0.09699999999999999,0.0,0.0,0
03-11,0.09699999999999999,0.0,0.0,0
03-12,0.09699999999999999,0.0,0.0,0
03-13,0.09699999999999999,0.0,0.4,0
03-14,0.09699999999999999,0.0,0.0,0
03-15,0.09699999999999999,0.0,0.0,0
03-16,0.09699999999999999,0.0,0.0,0
03-17,0.09699999999999999,0.0,0.0,0
03-18,0.09699999999999999,0.0,0.0,0
03-19,0.09699999999999999,0.0,0.0,0
03-20,0.09699999999999999,0.0,0.0,0
03-21,0.096,-0.000999999999999987,0.0,0
03-22,0.09699999999999999,0.000999999999999987,0.0,0
03-23,0.096,-0.000999999999999987,0.0,0
04-00,0.096,0.0,0.0,0
04-01,0.096,0.0,0.0,0
04-02,0.096,0.0,0.0,0
04-03,0.096,0.0,0.0,0
04-04,0.096,0.0,0.0,0
04-05,0.096,0.0,0.0,0
04-06,0.096,0.0,0.0,0
04-07,0.096,0.0,0.0,0
04-08,0.096,0.0,0.0,0
04-09,0.095,-0.0010000000000000009,0.0,0
04-10,0.096,0.0010000000000000009,0.0,0
04-11,0.095,-0.0010000000000000009,0.0,0
04-12,0.095,0.0,0.2,0
04-13,0.095,0.0,0.0,0
04-14,0.095,0.0,0.0,0
04-15,0.095,0.0,0.0,0
04-16,0.094,-0.0010000000000000009,0.0,0
04-17,0.08,-0.013999999999999999,0.0,0
04-18,0.35600000000000004,0.276,0.0,0
04-19,0.094,-0.262,0.0,0
04-20,0.094,0.0,0.0,0
04-21,0.094,0.0,0.0,0
04-22,0.094,0.0,0.0,0
04-23,0.094,0.0,0.0,0
05-00,0.094,0.0,0.0,0
05-01,0.861,0.767,0.0,1
05-02,0.094,-0.767,0.0,0
05-03,0.09300000000000001,-0.000999999999999987,0.0,0
05-04,0.09300000000000001,0.0,0.0,0
05-05,0.09300000000000001,0.0,0.0,0
05-06,0.09300000000000001,0.0,0.0,0
05-07,0.09300000000000001,0.0,0.0,0
05-08,0.09300000000000001,0.0,0.0,0
05-09,0.09300000000000001,0.0,0.0,0
05-10,0.09300000000000001,0.0,0.0,0
05-11,0.09300000000000001,0.0,0.0,0
05-12,0.09300000000000001,0.0,0.0,0
05-13,0.09300000000000001,0.0,0.2,0
05-14,0.86,0.767,0.0,1
05-15,0.09300000000000001,-0.767,0.0,0
05-16,0.09300000000000001,0.0,0.0,0
05-17,0.09300000000000001,0.0,0.0,0
05-18,0.092,-0.0010000000000000148,0.0,0
05-19,0.092,0.0,0.0,0
05-20,0.092,0.0,0.0,0
05-21,0.851,0.759,0.0,1
05-22,0.092,-0.759,0.0,0
05-23,0.092,0.0,0.0,0
06-00,0.092,0.0,0.0,0
06-01,0.092,0.0,0.0,0
06-02,0.851,0.759,0.0,1
06-03,0.092,-0.759,0.0,0
06-04,0.092,0.0,0.0,0
06-05,0.092,0.0,0.0,0
06-06,0.092,0.0,0.0,0
06-07,0.092,0.0,0.0,0
06-08,0.091,-0.0010000000000000009,0.0,0
06-09,0.091,0.0,0.0,0
06-10,0.091,0.0,0.0,0
06-11,0.091,0.0,0.0,0
06-12,0.091,0.0,0.0,0
06-13,0.091,0.0,0.0,0
06-14,0.091,0.0,0.2,0
06-15,0.091,0.0,0.0,0
06-16,0.091,0.0,0.0,0
06-17,0.091,0.0,0.0,0
06-18,0.09,-0.0010000000000000009,0.0,0
06-19,0.09,0.0,0.0,0
06-20,0.09,0.0,0.0,0
06-21,0.08900000000000001,-0.000999999999999987,0.0,0
06-22,0.08900000000000001,0.0,0.0,0
06-23,0.08900000000000001,0.0,0.0,0
07-00,0.08900000000000001,0.0,0.0,0
07-01,0.08900000000000001,0.0,0.0,0
07-02,0.08900000000000001,0.0,0.0,0
07-03,0.08900000000000001,0.0,0.0,0
07-04,0.08900000000000001,0.0,0.0,0
07-05,0.08900000000000001,0.0,0.0,0
07-06,0.08900000000000001,0.0,0.0,0
07-07,0.08900000000000001,0.0,0.0,0
07-08,0.08900000000000001,0.0,0.0,0
07-09,0.08900000000000001,0.0,0.0,0
07-10,0.08900000000000001,0.0,0.0,0
07-11,0.08900000000000001,0.0,0.0,0
07-12,0.08900000000000001,0.0,0.0,0
07-13,0.08900000000000001,0.0,0.4,0
07-14,0.08800000000000001,-0.0010000000000000009,0.0,0
07-15,0.08900000000000001,0.0010000000000000009,0.2,0
07-16,0.08800000000000001,-0.0010000000000000009,0.0,0
07-17,0.08900000000000001,0.0010000000000000009,0.0,0
07-18,0.08800000000000001,-0.0010000000000000009,0.0,0
07-19,0.08800000000000001,0.0,0.0,0
07-20,0.08800000000000001,0.0,0.0,0
07-21,0.08800000000000001,0.0,14.4,0
07-22,0.16699999999999998,0.07899999999999997,34.0,0
07-23,0.209,0.04200000000000001,15.0,0
08-00,0.183,-0.025999999999999995,5.1,0
08-01,0.175,-0.008000000000000007,2.2,0
08-02,1.508,1.333,0.0,1
08-03,0.155,-1.353,0.6,0
08-04,0.146,-0.009000000000000008,0.0,0
08-05,0.14,-0.005999999999999978,0.0,0
08-06,1.824,1.6840000000000002,0.0,1
08-07,1.7619999999999998,-0.06200000000000028,0.0,0
08-08,0.134,-1.6279999999999997,0.0,0
08-09,0.132,-0.0020000000000000018,0.0,0
08-10,0.131,-0.0010000000000000009,0.0,0
08-11,0.13,-0.0010000000000000009,0.0,0
08-12,1.176,1.0459999999999998,0.2,1
08-13,0.127,-1.049,0.0,0
08-14,0.126,-0.0010000000000000009,0.0,0
08-15,0.125,-0.0010000000000000009,0.0,0
08-16,0.12300000000000001,-0.001999999999999988,0.0,0
08-17,0.122,-0.0010000000000000148,0.3,0
08-18,0.121,-0.0010000000000000009,0.0,0
08-19,0.12,-0.0010000000000000009,0.0,0
08-20,0.11900000000000001,-0.000999999999999987,0.0,0
08-21,1.092,0.9730000000000001,0.0,1
08-22,1.091,-0.001000000000000112,0.0,0
08-23,0.11699999999999999,-0.974,0.0,0
09-00,0.11599999999999999,-0.0010000000000000009,0.0,0
09-01,0.115,-0.000999999999999987,0.0,0
09-02,0.114,-0.0010000000000000009,0.0,0
09-03,0.113,-0.0010000000000000009,0.0,0
09-04,0.113,0.0,0.0,0
09-05,0.11199999999999999,-0.0010000000000000148,0.0,0
09-06,0.111,-0.000999999999999987,0.0,0
09-07,1.1,0.9890000000000001,0.0,1
09-08,0.11,-0.9900000000000001,0.0,0
09-09,0.109,-0.0010000000000000009,0.0,0
09-10,0.10800000000000001,-0.000999999999999987,0.0,0
09-11,0.107,-0.0010000000000000148,0.0,0
09-12,0.107,0.0,0.0,0
